"","TrialId","Prime","AOI1","AOI2","FirstFixation","FirstFixationTime","PrimeWord","PrimeNasal","PrimeVoiced","CompetitorWord","CompetitorNasal","CompetitorVoiced","PrimeTime"
"175",178,"bend_late","bend","bent",187,623.333333333333,"bend",TRUE,TRUE,"bent",TRUE,FALSE,"late"
"176",179,"let","let","lent",150,500,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"177",180,"set","sent","set",175,583.333333333333,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"178",181,"bent_early","bent","bet",123,410,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"early"
"179",182,"bet","bet","bent",204,680,"bet",FALSE,FALSE,"bent",TRUE,FALSE,NA
"180",183,"send_early","sent","send",129,430,"send",TRUE,TRUE,"sent",TRUE,FALSE,"early"
"181",184,"bent_early","bent","bend",153,510,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"early"
"182",185,"lend_late","led","lend",292,973.333333333333,"lend",TRUE,TRUE,"led",FALSE,TRUE,"late"
"183",186,"said","set","said",207,690,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"184",187,"sent_early","set","sent",253,843.333333333333,"sent",TRUE,FALSE,"set",FALSE,FALSE,"early"
"185",188,"lent_early","lent","let",174,580,"lent",TRUE,FALSE,"let",FALSE,FALSE,"early"
"186",189,"let","let","led",192,640,"let",FALSE,FALSE,"led",FALSE,TRUE,NA
"187",190,"set","set","sent",205,683.333333333333,"set",FALSE,FALSE,"sent",TRUE,FALSE,NA
"188",191,"sent_late","set","sent",220,733.333333333333,"sent",TRUE,FALSE,"set",FALSE,FALSE,"late"
"189",192,"lend_late","lend","lent",221,736.666666666667,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"late"
"190",193,"set","said","set",189,630,"set",FALSE,FALSE,"said",FALSE,TRUE,NA
"191",194,"let","led","let",169,563.333333333333,"let",FALSE,FALSE,"led",FALSE,TRUE,NA
"192",195,"sent_early","send","sent",193,643.333333333333,"sent",TRUE,FALSE,"send",TRUE,TRUE,"early"
"193",197,"lend_early","lend","lent",244,813.333333333333,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"early"
"194",198,"bent_late","bet","bent",124,413.333333333333,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"late"
"195",199,"bent_late","bent","bend",195,650,"bent",TRUE,FALSE,"bend",TRUE,TRUE,"late"
"196",200,"led","led","lend",218,726.666666666667,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"197",201,"lent_early","lend","lent",186,620,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"198",202,"led","lend","led",168,560,"led",FALSE,TRUE,"lend",TRUE,TRUE,NA
"199",203,"bent_early","bet","bent",139,463.333333333333,"bent",TRUE,FALSE,"bet",FALSE,FALSE,"early"
"200",204,"lent_late","let","lent",186,620,"lent",TRUE,FALSE,"let",FALSE,FALSE,"late"
"201",205,"lend_early","led","lend",155,516.666666666667,"lend",TRUE,TRUE,"led",FALSE,TRUE,"early"
"202",206,"let","lent","let",160,533.333333333333,"let",FALSE,FALSE,"lent",TRUE,FALSE,NA
"203",207,"send_late","said","send",226,753.333333333333,"send",TRUE,TRUE,"said",FALSE,TRUE,"late"
"204",208,"lent_early","lent","lend",187,623.333333333333,"lent",TRUE,FALSE,"lend",TRUE,TRUE,"early"
"205",210,"led","let","led",205,683.333333333333,"led",FALSE,TRUE,"let",FALSE,FALSE,NA
"206",211,"sent_late","sent","send",217,723.333333333333,"sent",TRUE,FALSE,"send",TRUE,TRUE,"late"
"207",212,"lend_early","lend","led",158,526.666666666667,"lend",TRUE,TRUE,"led",FALSE,TRUE,"early"
"208",213,"said","said","set",175,583.333333333333,"said",FALSE,TRUE,"set",FALSE,FALSE,NA
"209",214,"lend_early","lent","lend",146,486.666666666667,"lend",TRUE,TRUE,"lent",TRUE,FALSE,"early"
"210",215,"send_late","send","said",123,410,"send",TRUE,TRUE,"said",FALSE,TRUE,"late"
"211",216,"bet","bent","bet",137,456.666666666667,"bet",FALSE,FALSE,"bent",TRUE,FALSE,NA
