,X,TrialId,Prime,AOI1,AOI2,FirstFixation,FirstFixationTime,PrimeWord,PrimeNasal,PrimeVoiced,CompetitorWord,CompetitorNasal,CompetitorVoiced,PrimeTime,CompetitorNas,Subject
56,56,56,led,led,lend,232,773.3333333,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
57,57,57,led,lend,led,163,543.3333333,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
58,58,58,bed,bed,bend,222,740,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
59,59,59,let,let,led,193,643.3333333,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,1
60,60,60,bend_early,bent,bend,182,606.6666667,bend,TRUE,TRUE,bent,TRUE,FALSE,early,Nasal,1
61,61,61,lent_early,lent,let,149,496.6666667,lent,TRUE,FALSE,let,FALSE,FALSE,early,Oral,1
62,62,62,bend_late,bent,bend,134,446.6666667,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
63,63,63,sent_late,send,sent,184,613.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
64,64,64,lent_early,lend,lent,179,596.6666667,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
65,65,65,let,lent,let,166,553.3333333,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
66,66,66,lend_early,lent,lend,115,383.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
67,67,67,bend_early,bed,bend,140,466.6666667,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
68,68,68,said,said,set,167,556.6666667,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
69,69,69,led,led,let,187,623.3333333,led,FALSE,TRUE,let,FALSE,FALSE,NA,Oral,1
70,70,70,bend_late,bend,bent,183,610,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
71,71,71,bed,bed,bet,168,560,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
72,72,72,lend_late,lend,led,226,753.3333333,lend,TRUE,TRUE,led,FALSE,TRUE,late,Oral,1
73,73,73,bet,bent,bet,141,470,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
74,74,74,led,let,led,203,676.6666667,led,FALSE,TRUE,let,FALSE,FALSE,NA,Oral,1
75,75,75,lend_early,led,lend,193,643.3333333,lend,TRUE,TRUE,led,FALSE,TRUE,early,Oral,1
76,76,76,send_early,send,sent,217,723.3333333,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
77,77,77,bent_early,bet,bent,177,590,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
78,78,78,send_early,said,send,185,616.6666667,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,1
79,79,79,lent_late,lend,lent,169,563.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
80,80,80,bent_early,bend,bent,98,326.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
81,81,81,sent_late,set,sent,216,720,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,1
82,82,82,bend_late,bed,bend,165,550,bend,TRUE,TRUE,bed,FALSE,TRUE,late,Oral,1
83,83,83,bend_late,bent,bend,197,656.6666667,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
84,84,84,sent_early,sent,set,185,616.6666667,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
85,85,85,bent_early,bent,bend,168,560,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
86,86,86,said,set,said,216,720,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
87,87,88,said,send,said,182,606.6666667,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,1
88,88,89,bent_late,bent,bend,215,716.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
89,89,90,let,lent,let,272,906.6666667,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
90,90,91,set,said,set,209,696.6666667,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,1
91,91,92,lend_late,lent,lend,172,573.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,late,Nasal,1
92,92,93,said,said,set,201,670,said,FALSE,TRUE,set,FALSE,FALSE,NA,Oral,1
93,93,94,send_early,send,said,197,656.6666667,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,1
94,94,95,led,led,lend,212,706.6666667,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
95,95,96,lent_early,lent,let,206,686.6666667,lent,TRUE,FALSE,let,FALSE,FALSE,early,Oral,1
96,96,97,send_late,send,said,198,660,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
97,97,98,lent_late,lent,let,177,590,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,1
98,98,99,bend_early,bed,bend,182,606.6666667,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
99,99,100,bed,bed,bet,218,726.6666667,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
100,100,101,led,lend,led,160,533.3333333,led,FALSE,TRUE,lend,TRUE,TRUE,NA,Nasal,1
101,101,103,let,let,lent,221,736.6666667,let,FALSE,FALSE,lent,TRUE,FALSE,NA,Nasal,1
102,102,104,sent_early,send,sent,213,710,sent,TRUE,FALSE,send,TRUE,TRUE,early,Nasal,1
103,103,105,sent_late,sent,set,190,633.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,1
104,104,106,bed,bet,bed,164,546.6666667,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
105,105,107,send_late,sent,send,193,643.3333333,send,TRUE,TRUE,sent,TRUE,FALSE,late,Nasal,1
106,106,108,lent_early,lent,lend,184,613.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
107,107,109,lent_early,let,lent,153,510,lent,TRUE,FALSE,let,FALSE,FALSE,early,Oral,1
108,108,110,set,sent,set,189,630,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
109,109,111,bend_late,bend,bent,236,786.6666667,bend,TRUE,TRUE,bent,TRUE,FALSE,late,Nasal,1
110,110,112,said,said,send,180,600,said,FALSE,TRUE,send,TRUE,TRUE,NA,Nasal,1
111,111,113,sent_late,sent,send,243,810,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
112,112,114,sent_late,send,sent,148,493.3333333,sent,TRUE,FALSE,send,TRUE,TRUE,late,Nasal,1
113,113,115,lent_early,lend,lent,151,503.3333333,lent,TRUE,FALSE,lend,TRUE,TRUE,early,Nasal,1
114,114,116,lend_late,lend,lent,267,890,lend,TRUE,TRUE,lent,TRUE,FALSE,late,Nasal,1
115,115,117,set,set,sent,214,713.3333333,set,FALSE,FALSE,sent,TRUE,FALSE,NA,Nasal,1
116,116,118,sent_early,set,sent,217,723.3333333,sent,TRUE,FALSE,set,FALSE,FALSE,early,Oral,1
117,117,119,bent_late,bend,bent,230,766.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,late,Nasal,1
118,118,120,bend_early,bent,bend,164,546.6666667,bend,TRUE,TRUE,bent,TRUE,FALSE,early,Nasal,1
119,119,121,lend_early,lent,lend,195,650,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
120,120,122,bet,bet,bed,154,513.3333333,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
121,121,123,bent_early,bent,bet,160,533.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,early,Oral,1
122,122,124,bed,bed,bend,166,553.3333333,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
123,123,125,bend_early,bend,bent,225,750,bend,TRUE,TRUE,bent,TRUE,FALSE,early,Nasal,1
124,124,126,lend_late,led,lend,212,706.6666667,lend,TRUE,TRUE,led,FALSE,TRUE,late,Oral,1
125,125,127,led,led,let,197,656.6666667,led,FALSE,TRUE,let,FALSE,FALSE,NA,Oral,1
126,126,128,lent_late,let,lent,182,606.6666667,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,1
127,127,129,let,let,led,202,673.3333333,let,FALSE,FALSE,led,FALSE,TRUE,NA,Oral,1
128,128,130,send_late,said,send,189,630,send,TRUE,TRUE,said,FALSE,TRUE,late,Oral,1
129,129,131,bent_late,bent,bet,184,613.3333333,bent,TRUE,FALSE,bet,FALSE,FALSE,late,Oral,1
130,130,132,lend_early,lend,lent,268,893.3333333,lend,TRUE,TRUE,lent,TRUE,FALSE,early,Nasal,1
131,131,133,lend_late,lend,led,231,770,lend,TRUE,TRUE,led,FALSE,TRUE,late,Oral,1
132,132,134,send_late,send,sent,239,796.6666667,send,TRUE,TRUE,sent,TRUE,FALSE,late,Nasal,1
133,133,135,set,set,said,185,616.6666667,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,1
134,134,136,lend_early,lend,led,216,720,lend,TRUE,TRUE,led,FALSE,TRUE,early,Oral,1
135,135,137,bet,bed,bet,223,743.3333333,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
136,136,138,bend_early,bend,bed,197,656.6666667,bend,TRUE,TRUE,bed,FALSE,TRUE,early,Oral,1
137,137,139,bed,bend,bed,111,370,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
138,138,140,bent_late,bet,bent,176,586.6666667,bent,TRUE,FALSE,bet,FALSE,FALSE,late,Oral,1
139,139,141,bend_late,bend,bed,194,646.6666667,bend,TRUE,TRUE,bed,FALSE,TRUE,late,Oral,1
140,140,142,send_early,sent,send,219,730,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
141,141,143,lent_late,lent,lend,179,596.6666667,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
142,142,144,bet,bet,bent,219,730,bet,FALSE,FALSE,bent,TRUE,FALSE,NA,Nasal,1
143,143,145,lend_late,lent,lend,185,616.6666667,lend,TRUE,TRUE,lent,TRUE,FALSE,late,Nasal,1
144,144,146,set,set,said,256,853.3333333,set,FALSE,FALSE,said,FALSE,TRUE,NA,Oral,1
145,145,147,bed,bed,bend,191,636.6666667,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
146,146,148,lent_late,lent,lend,203,676.6666667,lent,TRUE,FALSE,lend,TRUE,TRUE,late,Nasal,1
147,147,149,bed,bend,bed,138,460,bed,FALSE,TRUE,bend,TRUE,TRUE,NA,Nasal,1
148,148,150,lent_late,lent,let,194,646.6666667,lent,TRUE,FALSE,let,FALSE,FALSE,late,Oral,1
149,149,151,bet,bet,bed,188,626.6666667,bet,FALSE,FALSE,bed,FALSE,TRUE,NA,Oral,1
150,150,152,bent_early,bend,bent,164,546.6666667,bent,TRUE,FALSE,bend,TRUE,TRUE,early,Nasal,1
151,151,153,bed,bed,bet,178,593.3333333,bed,FALSE,TRUE,bet,FALSE,FALSE,NA,Oral,1
152,152,154,lend_late,lend,led,214,713.3333333,lend,TRUE,TRUE,led,FALSE,TRUE,late,Oral,1
153,153,155,send_early,send,sent,192,640,send,TRUE,TRUE,sent,TRUE,FALSE,early,Nasal,1
154,154,156,sent_late,sent,set,195,650,sent,TRUE,FALSE,set,FALSE,FALSE,late,Oral,1
155,155,157,send_early,said,send,197,656.6666667,send,TRUE,TRUE,said,FALSE,TRUE,early,Oral,1
